"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /2019/10/31/20kb-e-imagem",8542,3600,3800,3900,4000,4200,4300,4500,4600,5200
"Total",8542,3600,3800,3900,4000,4200,4300,4500,4600,5200
