"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /2019/10/31/20kb-e-imagem",12541,1300,1400,1400,1500,1500,1600,1700,1900,5400
"Total",12541,1300,1400,1400,1500,1500,1600,1700,1900,5400
