"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/2019/10/31/20kb-e-imagem",8542,0,3600,3470,92,5218,37717,42.74
"None","Total",8542,0,3600,3470,92,5218,37717,42.74
