"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /2019/10/31/20kb-e-imagem",9086,6200,6400,6600,6600,6800,7000,7200,7300,8900
"Total",9086,6200,6400,6600,6600,6800,7000,7200,7300,8900
