"Method","Name","Error","Occurrences"
"GET","/2019/10/31/20kb-e-imagem","500 Server Error: Internal Server Error for url: http://192.168.0.31/2019/10/31/20kb-e-imagem/",1157
"GET","/2019/10/31/20kb-e-imagem","500 Server Error: Internal Server Error for url: http://192.168.0.31/2019/10/31/20kb-e-imagem",1656
