"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /2019/10/31/20kb-e-imagem",9752,1800,1900,2000,2100,2300,2400,2600,2800,5000
"Total",9752,1800,1900,2000,2100,2300,2400,2600,2800,5000
