"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/2019/10/31/20kb-e-imagem",9752,0,1800,1753,115,4992,37717,35.71
"None","Total",9752,0,1800,1753,115,4992,37717,35.71
