"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /2019/10/31/20kb-e-imagem",17954,1200,4000,4900,5300,6900,9900,11000,11000,13000
"Total",17954,1200,4000,4900,5300,6900,9900,11000,11000,13000
