"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /2019/10/31/20kb-e-imagem",12474,3500,4400,5000,5400,6800,7700,8200,8500,9900
"Total",12474,3500,4400,5000,5400,6800,7700,8200,8500,9900
