"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /2019/10/31/texto-400kb",6885,2000,2200,2200,2300,2400,2500,2700,2700,3300
"Total",6885,2000,2200,2200,2300,2400,2500,2700,2700,3300
