"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /2019/10/31/texto-400kb",8962,7800,8100,8200,8300,8600,8800,9000,9100,9700
"Total",8962,7800,8100,8200,8300,8600,8800,9000,9100,9700
