"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/2019/10/31/texto-400kb",8962,0,7800,7323,109,9685,118011,33.82
"None","Total",8962,0,7800,7323,109,9685,118011,33.82
