"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /2019/10/31/texto-400kb",28267,420,1200,2300,4600,6900,9900,14000,15000,20000
"Total",28267,420,1200,2300,4600,6900,9900,14000,15000,20000
