"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /2019/10/31/texto-400kb",12610,1600,4400,5400,6700,8700,10000,12000,13000,15000
"Total",12610,1600,4400,5400,6700,8700,10000,12000,13000,15000
