"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /2019/10/31/texto-400kb",12658,2900,3500,4100,4500,5200,6300,6900,7200,8300
"Total",12658,2900,3500,4100,4500,5200,6300,6900,7200,8300
