"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /2019/10/31/texto-400kb",10707,1900,2100,2200,2300,2500,2800,3200,3500,6100
"Total",10707,1900,2100,2200,2300,2500,2800,3200,3500,6100
