"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /2019/10/31/texto-400kb",18059,1200,3900,4800,5400,7800,11000,12000,12000,14000
"Total",18059,1200,3900,4800,5400,7800,11000,12000,12000,14000
