"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /2019/10/31/texto-400kb",8623,1900,2100,2300,2400,2600,2800,3100,3300,5500
"Total",8623,1900,2100,2300,2400,2600,2800,3100,3300,5500
