"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /2019/10/31/texto-400kb",11398,3100,4300,5800,6300,8000,8700,9300,9600,11000
"Total",11398,3100,4300,5800,6300,8000,8700,9300,9600,11000
