"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/2019/10/31/texto-400kb",11398,3329,3100,3406,7,10646,83543,43.51
"None","Total",11398,3329,3100,3406,7,10646,83543,43.51
