"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/2019/10/31/20kb-e-imagem",11789,0,2600,2584,87,7447,37717,40.59
"None","Total",11789,0,2600,2584,87,7447,37717,40.59
