"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/2019/10/31/20kb-e-imagem",12534,0,1400,1414,90,2775,37717,40.77
"None","Total",12534,0,1400,1414,90,2775,37717,40.77
