"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /2019/10/31/20kb-e-imagem",29357,330,670,2200,3800,5100,6600,9800,11000,13000
"Total",29357,330,670,2200,3800,5100,6600,9800,11000,13000
