"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /2019/10/31/20kb-e-imagem",11789,2600,3200,3600,3900,4600,5700,6100,6400,7400
"Total",11789,2600,3200,3600,3900,4600,5700,6100,6400,7400
