"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /2019/10/31/20kb-e-imagem",12534,1400,1500,1600,1700,1800,1900,2000,2100,2800
"Total",12534,1400,1500,1600,1700,1800,1900,2000,2100,2800
